sensor_id,district,mapping_method,mapping_version
SEN001,agra,synthetic_round_robin_per_dataset_notes,v1
SEN002,ambala,synthetic_round_robin_per_dataset_notes,v1
SEN003,amritsar,synthetic_round_robin_per_dataset_notes,v1
SEN004,bareilly,synthetic_round_robin_per_dataset_notes,v1
SEN005,bathinda,synthetic_round_robin_per_dataset_notes,v1
SEN006,fatehabad,synthetic_round_robin_per_dataset_notes,v1
SEN007,ferozepur,synthetic_round_robin_per_dataset_notes,v1
SEN008,hisar,synthetic_round_robin_per_dataset_notes,v1
SEN009,jalandhar,synthetic_round_robin_per_dataset_notes,v1
SEN010,karnal,synthetic_round_robin_per_dataset_notes,v1
SEN011,kurukshetra,synthetic_round_robin_per_dataset_notes,v1
SEN012,ludhiana,synthetic_round_robin_per_dataset_notes,v1
SEN013,meerut,synthetic_round_robin_per_dataset_notes,v1
SEN014,moga,synthetic_round_robin_per_dataset_notes,v1
SEN015,muzaffarnagar,synthetic_round_robin_per_dataset_notes,v1
SEN016,patiala,synthetic_round_robin_per_dataset_notes,v1
SEN017,saharanpur,synthetic_round_robin_per_dataset_notes,v1
SEN018,sirsa,synthetic_round_robin_per_dataset_notes,v1
SEN019,agra,synthetic_round_robin_per_dataset_notes,v1
SEN020,ambala,synthetic_round_robin_per_dataset_notes,v1
SEN021,amritsar,synthetic_round_robin_per_dataset_notes,v1
SEN022,bareilly,synthetic_round_robin_per_dataset_notes,v1
SEN023,bathinda,synthetic_round_robin_per_dataset_notes,v1
SEN024,fatehabad,synthetic_round_robin_per_dataset_notes,v1
SEN025,ferozepur,synthetic_round_robin_per_dataset_notes,v1
SEN026,hisar,synthetic_round_robin_per_dataset_notes,v1
SEN027,jalandhar,synthetic_round_robin_per_dataset_notes,v1
SEN028,karnal,synthetic_round_robin_per_dataset_notes,v1
SEN029,kurukshetra,synthetic_round_robin_per_dataset_notes,v1
SEN030,ludhiana,synthetic_round_robin_per_dataset_notes,v1
SEN031,meerut,synthetic_round_robin_per_dataset_notes,v1
SEN032,moga,synthetic_round_robin_per_dataset_notes,v1
SEN033,muzaffarnagar,synthetic_round_robin_per_dataset_notes,v1
SEN034,patiala,synthetic_round_robin_per_dataset_notes,v1
SEN035,saharanpur,synthetic_round_robin_per_dataset_notes,v1
SEN036,sirsa,synthetic_round_robin_per_dataset_notes,v1
SEN037,agra,synthetic_round_robin_per_dataset_notes,v1
SEN038,ambala,synthetic_round_robin_per_dataset_notes,v1
SEN039,amritsar,synthetic_round_robin_per_dataset_notes,v1
SEN040,bareilly,synthetic_round_robin_per_dataset_notes,v1
SEN041,bathinda,synthetic_round_robin_per_dataset_notes,v1
SEN042,fatehabad,synthetic_round_robin_per_dataset_notes,v1
SEN043,ferozepur,synthetic_round_robin_per_dataset_notes,v1
SEN044,hisar,synthetic_round_robin_per_dataset_notes,v1
SEN045,jalandhar,synthetic_round_robin_per_dataset_notes,v1
SEN046,karnal,synthetic_round_robin_per_dataset_notes,v1
SEN047,kurukshetra,synthetic_round_robin_per_dataset_notes,v1
SEN048,ludhiana,synthetic_round_robin_per_dataset_notes,v1
SEN049,meerut,synthetic_round_robin_per_dataset_notes,v1
SEN050,moga,synthetic_round_robin_per_dataset_notes,v1
